#1,57,56,51,7,3,1,1,,,58
#2,39,47,33,4,,,1,,,38
#3,113,89,30,6,,1,,,,37
#4,29,29,28,1,,,,,,29
#5,26,26,31,4,,,,,,26
#6,19,23,21,4,3,5,,,,24
#7,20,20,21,2,1,1,,,,21
#8,19,19,19,1,1,1,,,,20
#9,23,18,18,,,,,,,18
#10,16,18,17,2,1,,,,,18
#11,27,22,12,4,1,,,,,17
#12,19,19,17,,,,,,,17
#13,15,14,12,3,1,,,,,15
#14,17,16,14,1,,,,,,15
#15,15,14,12,2,,,,,,14
#16,14,15,13,1,,,,,,14
#17,26,26,9,3,1,1,,,,14
#18,11,12,12,1,2,1,,,,13
#19,12,13,12,1,,,,,,12
#20,16,16,9,2,,,,,,11
#21,39,39,10,1,,,,,,11
#22,12,12,11,,,,,,,11
#23,10,10,8,3,,1,,,,10
#24,10,10,10,1,1,,,,,10
#25,9,7,8,2,1,1,,,,9
#26,9,9,10,,,,,,,9
#27,14,14,4,1,4,,,,,9
#28,15,18,7,2,,,,,,9
#29,20,21,6,1,1,1,,,,9
#30,18,17,4,4,,1,,,,9
#31,13,11,7,1,,,,,,8
#32,8,8,8,,,,,,,8
#33,10,8,10,,,,,,,8
#34,8,8,8,3,,1,,,,8
#35,20,19,4,4,,,,,,8
#36,12,13,7,1,,,,,,8
#37,7,7,15,1,,1,,,,8
#38,8,8,7,1,,,,,,8
#39,7,8,6,1,,,,,,7
#40,7,9,7,2,,,,,,7
#41,7,7,7,1,,,,,,7
#42,7,7,6,1,,,,,,7
#43,8,8,6,1,,,,,,7
#44,10,10,3,4,,,,,,7
#45,7,7,6,1,,,,,,7
#46,9,7,4,2,,1,,,,7
#47,6,8,7,1,,,,,,7
#48,14,14,,1,5,1,,,,7
#49,7,7,7,,,,,,,7
#50,22,22,4,1,2,,,,,7
#51,7,10,6,1,,,,,,7
#52,14,14,2,2,2,1,,,,7
#53,11,12,6,1,,,,,,7
#54,3,9,9,3,1,,,,,7
#55,7,7,7,1,,,,,,7
#56,6,6,7,,,,,,,6
#57,6,6,6,,,,,,,6
#58,8,5,6,1,,,,,,6
#59,11,11,5,1,,,,,,6
#60,6,6,6,1,1,,,,,6
#61,8,9,4,1,,1,,,,6
#62,12,12,4,1,,1,,,,6
#63,6,6,5,2,,,,,,6
#64,6,8,5,,1,,,,,6
#65,6,7,5,1,,1,,,,6
#66,6,6,5,1,,,,,,6
#67,25,23,3,3,,,,,,6
#68,5,6,6,1,,,,,,6
#69,7,7,4,2,,,,,,6
#70,6,6,6,1,,,,,,6
#71,6,7,4,1,,2,,,,6
#72,6,6,5,1,,,,,,6
#73,10,10,6,,,,,,,6
#74,6,6,5,,,1,,,,6
#75,4,5,4,5,1,1,,,,6
#76,8,8,4,2,,,,,,6
#77,7,7,5,1,,,,,,6
#78,6,6,1,1,3,,1,,,6
#79,47,47,5,1,,,,,,6
#80,8,7,3,1,,1,,,,5
#81,10,10,4,1,,,,,,5
#82,5,5,4,1,,,,,,5
#83,5,5,3,2,,,,,,5
#84,6,5,5,2,,,,,,5
#85,5,5,3,2,,,,,,5
#86,4,4,10,,,,1,2,,5
#87,4,4,3,4,1,1,,,,5
#88,10,10,4,1,,,,,,5
#89,5,10,4,1,,,,,,5
#90,5,5,4,,1,,,,,5
#91,6,6,3,1,,1,,,,5
#92,5,5,5,1,,,,,,5
#93,5,5,4,,1,,,,,5
#94,4,5,6,1,,,,,,5
#95,4,5,5,1,,,,,,5
#96,5,5,5,,,,,,,5
#97,6,7,4,1,,,,,,5
#98,6,6,4,1,,,,,,5
#99,5,5,4,1,,,,,,5
#100,6,5,5,2,,,,,,5
#101,5,5,4,1,,,,,,5
#102,5,5,5,,,,,,,5
#103,5,6,5,1,,,,,,5
#104,6,8,5,,,,,,,5
#105,4,5,4,1,1,,,,,5
#106,5,5,5,1,,,,,,5
#107,15,15,4,1,,,,,,5
#108,5,5,4,1,,,,,,5
#109,10,10,4,1,,,,,,5
#110,5,7,4,1,,,,,,5
#111,14,14,4,1,,,,,,5
#112,6,6,3,1,,1,,,,5
#113,5,5,5,,,,,,,5
#114,5,5,4,1,,,,,,5
#115,4,4,3,1,,,,,,4
#116,5,5,3,1,,,,,,4
#117,3,4,3,1,1,,,,,4
#118,4,4,3,1,1,,,,,4
#119,5,5,4,,,,,,,4
